subject1,subject2
3.1839,1.6419
2.7974,3.0081
3.4584,2.1867
4.5003,2.7225
4.8528,2.8157
1.7456,5.7872
3.4424,1.5238
3.3607,1.3321
4.9401,4.5858
3.3487,2.1422
3.3904,1.5291
3.6193,3.056
3.0952,2.2508
4.4323,0.79217
5.3714,1.8778
2.5289,3.7385
4.4641,1.9831
4.0398,1.4213
4.0789,0.41516
5.0284,3.7005
4.3772,2.6982
4.4381,4.333
3.9461,3.8141
3.5008,4.8643
3.5843,1.1225
4.6467,3.5826
4.1882,4.8894
1.9023,3.3656
5.7097,3.2455
4.2876,5.6856
5.1327,3.2994
3.8986,1.3196
3.0254,2.8642
3.5628,5.4533
4.3662,5.2731
2.3695,5.2097
6.0286,1.8231
3.3453,2.3565
2.8269,4.6456
3.6168,1.4921
2.7427,6.707
3.8662,3.0046
4.8549,3.538
2.8138,3.5116
3.7766,2.2556
4.581,2.8694
3.2808,1.3923
0.88406,1.5799
4.8526,4.7414
4.4416,3.6426
3.6717,1.5926
4.305,5.9583
2.3692,2.4196
3.4038,0.83827
3.8082,0.75234
3.9973,2.284
3.8572,4.489
4.0332,1.2321
4.2122,4.4693
3.8336,1.5391
5.0137,2.5209
4.801,1.8462
3.7921,1.4683
2.9905,0.26046
4.8011,3.8763
4.0719,3.7836
3.6334,2.2836
3.5354,3.3202
3.6671,4.2384
5.3036,2.0948
1.8995,4.0479
3.5283,4.1833
1.5159,2.9092
3.5806,2.9092
4.0057,2.746
3.5888,5.1918
2.4885,3.3873
3.2107,3.9191
1.2634,3.4626
4.7761,4.0574
4.0309,3.7091
3.7523,2.5739
3.4061,3.1864
4.8072,3.6449
4.1515,3.9388
3.5325,3.5221
3.5735,6.5258
2.431,2.9787
2.2006,1.8252
4.0724,4.351
2.4591,2.241
3.1217,2.4598
1.5644,4.3863
4.9302,1.1529
3.6974,3.4725
2.7367,2.5553
4.1633,3.0266
3.4919,2.3695
2.8557,3.1343
2.8046,5.5632
2.5917,3.7681
2.7871,2.6632
3.9073,5.226
5.5755,4.2182
4.5881,1.1845
5.2303,4.4244
4.2554,2.4805
4.847,5.1764
4.753,3.3271
3.3945,3.4581
3.7496,4.9995
3.7707,3.073
